MIN;AVG;MAX
3;44;61
13;49;61
16;49;62
24;50;60
42;54;62
39;53;60
39;54;63
27;53;63
3;49;63
4;46;58
26;55;64
39;54;63
32;53;63
28;55;62
39;54;63
37;53;60
36;53;59
45;54;64
27;51;60
42;53;62
39;53;65
40;54;62
31;54;63
39;53;60
39;54;64
38;53;63
39;53;61
26;52;62
41;53;62
39;54;65
38;55;70
29;53;65
38;54;62
33;52;60
40;53;62
40;53;61
33;53;64
39;52;62
31;52;65
39;54;62
25;51;63
37;52;56
31;53;63
39;53;62
41;54;62
27;52;61
38;53;63
39;53;66
40;53;63
27;53;62
39;53;63
42;54;65
41;54;64
39;54;64
27;53;60
37;53;62
35;53;68
38;53;58
26;53;65
41;54;61
30;54;66
37;55;62
41;54;62
27;54;66
41;55;69
34;54;65
40;55;71
30;53;68
39;54;63
51;55;64
38;53;61
28;54;66
39;54;61
40;54;63
39;55;64
39;54;63
5;51;61
35;50;64
33;49;64
34;49;59
23;43;56
39;52;67
27;53;65
3;43;72
23;38;47
25;35;46
25;37;44
23;37;44
29;38;48
24;35;41
27;37;45
26;36;47
21;35;44
26;36;48
27;35;46
23;35;44
25;36;43
27;37;48
23;35;45
22;34;41
29;36;46
26;33;42
19;35;44
26;35;44
23;34;40
23;35;45
27;37;43
19;36;43
25;35;44
26;37;44
26;37;44
